Id,Ranking,,Economy,US_dollars,
VCT,184,,St. Vincent and the Grenadines,771,
ASM,185,,American Samoa,641,
COM,186,,Comoros,617,
DMA,187,,Dominica,525,
TON,188,,Tonga,395,
STP,189,,São Tomé and Principe,351,
FSM,190,,"Micronesia, Fed. Sts.",322,
PLW,191,,Palau,293,
MHL,192,,Marshall Islands,183,
KIR,193,,Kiribati,166,
NRU,194,,Nauru,102,
TUV,195,,Tuvalu,34,
,,,,,
AND,,,Andorra, .. ,
ABW,,,Aruba, .. ,
BMU,,,Bermuda, .. ,
VGB,,,British Virgin Islands, .. ,
CYM,,,Cayman Islands, .. ,
CHI,,,Channel Islands, .. ,
CUW,,,Curaçao, .. ,
ERI,,,Eritrea, .. ,
FRO,,,Faroe Islands, .. ,
PYF,,,French Polynesia, .. ,
GIB,,,Gibraltar, .. ,
PRK,,,"Korea, Dem. People's Rep.", .. ,
LBY,,,Libya, .. ,
MCO,,,Monaco, .. ,
NCL,,,New Caledonia, .. ,
PRI,,,Puerto Rico, .. ,
SMR,,,San Marino, .. ,
SXM,,,Sint Maarten (Dutch part), .. ,
MAF,,,St. Martin (French part), .. ,
SYR,,,Syrian Arab Republic, .. ,
TCA,,,Turks and Caicos Islands, .. ,
VEN,,,"Venezuela, RB", .. ,
,,,,,
,,,,,
WLD,,,World,75641577,
,,,,,
EAS,,,East Asia & Pacific,22477425,
ECS,,,Europe & Central Asia,20162858,
LCN,,,Latin America & Caribbean,5294928,
MEA,,,Middle East & North Africa,3111499,
NAC,,,North America,20104905,
SAS,,,South Asia,2896361,
SSF,,,Sub-Saharan Africa,1498001,
LIC,,,Low income,405501,
LMC,,,Lower middle income,6252244,
UMC,,,Upper middle income,20570823,
HIC,,,High income,48407640,
,,,,,
,.. Not available.  ,,,,
,Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2015 or 2014.,,,,
,"a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims. b. Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina.The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  c. Includes Former Spanish Sahara.  d. Covers mainland Tanzania only.  e. Data are for the area controlled by the government of Cyprus.  f. Excludes Abkhazia and South Ossetia.  g. Excludes Transnistria.",,,,
,,,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
