Country,Id,Indicator,IndicatorCode,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,
Aruba,ABW,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,7.65579494440779,7.39221936801708,7.17373781783542,7.01616462539998,6.92959582790091,6.91200637418455,6.98677884615385,7.09061333395747,7.22985437171305,7.39059603393068,7.58037709266618,7.75797110809705,7.95540677109651,8.16764072275993,8.38287572034799,8.59133668562746,8.91879562043796,9.2294013040901,9.54880467277732,9.89127970587366,10.2882884655106,10.5837163042733,10.9186269826569,11.2950274743912,11.7038392986175,12.1371273037445,12.6061323004713,
Afghanistan,AFG,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2.21183344362703,2.2255397383508,2.24293554694862,2.26390698066969,2.29119172849043,2.32948358087507,2.32556077905237,2.31213215603316,2.29355928188927,2.27224985616128,2.24839995071106,2.22779588526687,2.21176843977115,2.20008358172355,2.192472575228,2.18961119626108,2.21422019854442,2.23410093898619,2.25280758272752,2.27504809881015,2.30328491307918,2.33738723256523,2.37771768785689,2.42028410212529,2.45951067860634,2.49313992141566,2.54155755627188,
Angola,AGO,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2.55014176217919,2.54483908243203,2.53663054152245,2.52476660608156,2.50858643995965,2.4886477631149,2.48812786893374,2.4815393431803,2.4695958893516,2.4524435029329,2.42969920668692,2.42807832133113,2.42218461200699,2.41208097248372,2.3978628746452,2.38010996217269,2.37415125425178,2.36730836115425,2.35787994349114,2.34323110792425,2.32345824070223,2.31032680920608,2.29319636677339,2.280595607258,2.28338172154969,2.30631381507902,2.34944338346279,
Albania,ALB,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,5.5026217036716,5.65727075307036,5.83705976725822,6.0364630736996,6.24232032465186,6.4453175293942,6.57742572669286,6.69696909934269,6.81251347156787,6.93663065834375,7.07457150453079,7.33190537559473,7.61047749155266,7.90631966197419,8.21132261608195,8.52178454061943,8.92771608578114,9.34502946023142,9.77530467290469,10.2182347808623,10.672583977351,11.0538330567381,11.4186146143938,11.7717913598527,12.1369841908398,12.5367044406558,12.833914490006,
Andorra,AND,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,3.60553400951939,3.64624719769924,3.70777505833154,3.75144872435684,3.79649373903254,3.8273184937013,3.8755589549073,3.91970247507797,3.96067098152825,3.99816635619408,4.03231162714566,4.06206440623912,4.08690285357526,4.10678021275971,4.12073064680733,4.12920588724877,4.13713885291051,4.13957968403983,4.14069243063845,4.14495735718707,4.15572686307613,4.17772133721944,4.20084483365478,4.22911244049752,4.26892498033916,4.32449618113691,4.39877240792997,
United Arab Emirates,ARE,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,1.18886727800733,1.16668510973967,1.13833777668298,1.1070465093628,1.07743165029549,1.05046512197712,1.05055581053434,1.06577383046729,1.08641383720705,1.09893640304642,1.09698328803379,1.05035068814732,1.00503759089789,0.966185382310528,0.937589210776796,0.919214544971768,0.844214609906998,0.795176492914456,0.765896008254962,0.752074671882853,0.750469973221078,0.81073741924883,0.875528470292467,0.937802948903447,0.988196607887648,1.02185835686872,1.08417698604861,
Argentina,ARG,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,9.05348191135896,9.1609372536258,9.27064626749112,9.37708593410139,9.47036318387157,9.54714890040565,9.64929894062855,9.7357705477727,9.80737876014822,9.86541227766768,9.91158809299679,9.97504797578342,10.0177332059097,10.048100753604,10.0766367140272,10.1102507650435,10.1603836710282,10.2134203701235,10.2712150090972,10.3343266729342,10.4047364381366,10.5034681066721,10.6013437287862,10.7016526239762,10.8089582230873,10.926301710832,11.0608238612845,
Armenia,ARM,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,5.63195893916762,6.07505710718006,6.62191639968514,7.2314871585663,7.8333323182059,8.38129735663787,8.78160099614452,9.08691941427717,9.34623782925508,9.64086633385313,10.0156763709006,10.4302190840983,10.9163560925107,11.3961599917291,11.7472368970063,11.8997041182936,11.9043096163596,11.7303590521286,11.4514032638521,11.1806684520859,10.9935978418739,10.8656302848016,10.8166008656723,10.8255063315856,10.8608777036838,10.909237388368,11.0642857533602,
American Samoa,ASM,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
